archivo,antes_bytes,despues_bytes
counts/v1a/categories/finest/mortalidad/06.parquet,111648,0
counts/v1a/categories/finest/mortalidad/07.parquet,147939,0
counts/v1a/categories/finest/mortalidad/08.parquet,90502,0
counts/v1a/categories/finest/mortalidad/09.parquet,694411,0
counts/v1a/categories/finest/mortalidad/10.parquet,86157,0
counts/v1a/categories/finest/mortalidad/11.parquet,104259,0
counts/v1a/categories/finest/mortalidad/12.parquet,168332,0
counts/v1a/categories/finest/mortalidad/13.parquet,311566,0
counts/v1a/categories/finest/mortalidad/14.parquet,32154,0
counts/v1a/categories/finest/mortalidad/15.parquet,23679,0
counts/v1a/categories/finest/mortalidad/16.parquet,21843,0
counts/v1a/categories/finest/mortalidad/17.parquet,506580,0
counts/v1a/categories/finest/mortalidad/18.parquet,116329,0
counts/v1a/categories/finest/mortalidad/19.parquet,22388,0
counts/v1a/categories/finest/mortalidad/20.parquet,7247,0
counts/v1a/categories/finest/mortalidad/21.parquet,37991,0
counts/v1a/categories/finest/mortalidad/22.parquet,31817,0
counts/v1a/categories/finest/mortalidad/23.parquet,84841,0
counts/v1a/categories/finest/mortalidad/24.parquet,95767,0
counts/v1a/categories/finest/poblacion/01.parquet,6088328,0
counts/v1a/categories/finest/poblacion/02.parquet,1578757,0
counts/v1a/categories/finest/poblacion/03.parquet,2198887,0
counts/v1a/categories/finest/poblacion/04.parquet,1590402,0
counts/v1a/categories/finest/poblacion/05.parquet,3385587,0
counts/v1a/categories/finest/poblacion/06.parquet,4229417,0
counts/v1a/categories/finest/poblacion/07.parquet,7161333,0
counts/v1a/categories/finest/poblacion/08.parquet,4630869,0
counts/v1a/categories/finest/poblacion/09.parquet,33989087,0
counts/v1a/categories/finest/poblacion/10.parquet,4120978,0
counts/v1a/categories/finest/poblacion/11.parquet,4274116,0
counts/v1a/categories/finest/poblacion/12.parquet,7247817,0
counts/v1a/categories/finest/poblacion/13.parquet,13930429,0
counts/v1a/categories/finest/poblacion/14.parquet,1728768,0
counts/v1a/categories/finest/poblacion/15.parquet,1132733,0
counts/v1a/categories/finest/poblacion/16.parquet,931785,0
counts/v1a/categories/finest/poblacion/17.parquet,20918649,0
counts/v1a/categories/finest/poblacion/18.parquet,4381414,0
counts/v1a/categories/finest/poblacion/19.parquet,1159152,0
counts/v1a/categories/finest/poblacion/20.parquet,375513,0
counts/v1a/categories/finest/poblacion/21.parquet,1893358,0
counts/v1a/categories/finest/poblacion/22.parquet,1671074,0
counts/v1a/categories/finest/poblacion/23.parquet,4456200,0
counts/v1a/categories/finest/poblacion/24.parquet,4597897,0
counts/v1a/categories/finest/vivienda/01.parquet,1295600,0
counts/v1a/categories/finest/vivienda/02.parquet,332839,0
counts/v1a/categories/finest/vivienda/03.parquet,477835,0
counts/v1a/categories/finest/vivienda/04.parquet,319244,0
counts/v1a/categories/finest/vivienda/05.parquet,722032,0
counts/v1a/categories/finest/vivienda/06.parquet,904607,0
counts/v1a/categories/finest/vivienda/07.parquet,1601424,0
counts/v1a/categories/finest/vivienda/08.parquet,1093299,0
counts/v1a/categories/finest/vivienda/09.parquet,7285199,0
counts/v1a/categories/finest/vivienda/10.parquet,862837,0
counts/v1a/categories/finest/vivienda/11.parquet,956702,0
counts/v1a/categories/finest/vivienda/12.parquet,1590701,0
counts/v1a/categories/finest/vivienda/13.parquet,3325941,0
counts/v1a/categories/finest/vivienda/14.parquet,400735,0
counts/v1a/categories/finest/vivienda/15.parquet,228560,0
counts/v1a/categories/finest/vivienda/16.parquet,185592,0
counts/v1a/categories/finest/vivienda/17.parquet,4492835,0
counts/v1a/categories/finest/vivienda/18.parquet,888870,0
counts/v1a/categories/finest/vivienda/19.parquet,239068,0
counts/v1a/categories/finest/vivienda/20.parquet,77835,0
counts/v1a/categories/finest/vivienda/21.parquet,397757,0
counts/v1a/categories/finest/vivienda/22.parquet,381638,0
counts/v1a/categories/finest/vivienda/23.parquet,929078,0
counts/v1a/categories/finest/vivienda/24.parquet,1147446,0
counts/v1a/categories/nacion/data.parquet,33445,17574
counts/v1a/categories/parroquia/01.parquet,0,170825
counts/v1a/categories/parroquia/02.parquet,0,61405
counts/v1a/categories/parroquia/03.parquet,0,76584
counts/v1a/categories/parroquia/04.parquet,0,66101
counts/v1a/categories/parroquia/05.parquet,0,98721
counts/v1a/categories/parroquia/06.parquet,0,114082
counts/v1a/categories/parroquia/07.parquet,0,134539
counts/v1a/categories/parroquia/08.parquet,0,132080
counts/v1a/categories/parroquia/09.parquet,0,172338
counts/v1a/categories/parroquia/10.parquet,0,100048
counts/v1a/categories/parroquia/11.parquet,0,157022
counts/v1a/categories/parroquia/12.parquet,0,96197
counts/v1a/categories/parroquia/13.parquet,0,197111
counts/v1a/categories/parroquia/14.parquet,0,98038
counts/v1a/categories/parroquia/15.parquet,0,54772
counts/v1a/categories/parroquia/16.parquet,0,49074
counts/v1a/categories/parroquia/17.parquet,0,185249
counts/v1a/categories/parroquia/18.parquet,0,132355
counts/v1a/categories/parroquia/19.parquet,0,71382
counts/v1a/categories/parroquia/20.parquet,0,21969
counts/v1a/categories/parroquia/21.parquet,0,71764
counts/v1a/categories/parroquia/22.parquet,0,65191
counts/v1a/categories/parroquia/23.parquet,0,40780
counts/v1a/categories/parroquia/24.parquet,0,43731
counts/v1a/categories/parroquia/province_key=01/data_0.parquet,304413,0
counts/v1a/categories/parroquia/province_key=02/data_0.parquet,103596,0
counts/v1a/categories/parroquia/province_key=03/data_0.parquet,130987,0
counts/v1a/categories/parroquia/province_key=04/data_0.parquet,113196,0
counts/v1a/categories/parroquia/province_key=05/data_0.parquet,165898,0
counts/v1a/categories/parroquia/province_key=06/data_0.parquet,203321,0
