clave_manzana,clave_sector,poblacion
071250018006034,071250018006,0
071250018006035,071250018006,0
071250018006036,071250018006,0
071250018006037,071250018006,0
071250018006038,071250018006,0
071250018006039,071250018006,0
071250018006040,071250018006,0
071250018006041,071250018006,0
071250018006042,071250018006,0
071250914001024,071250914001,8
071250914001025,071250914001,14
071250914001026,071250914001,21
071250914001027,071250914001,15
071250914001028,071250914001,10
071250914003020,071250914003,2
071251001006045,071251001006,8
071254001002030,071254001002,37
071450001005022,071450001005,6
080150016007003,080150016007,43
080150025007004,080150025007,0
080150041007010,080150041007,10
080163907001029,080163907001,11
080168910004008,080168910004,111
080356001001013,080356001001,30
080450005002019,080450005002,11
080550006002006,080550006002,12
080650002010011,080650002010,27
080650002010012,080650002010,5
080650002010013,080650002010,29
080650002010014,080650002010,50
080650002010015,080650002010,33
080650002010016,080650002010,59
080650002010017,080650002010,20
080650002010020,080650002010,8
080650002010021,080650002010,0
080650002010022,080650002010,13
080650007001010,080650007001,8
080650007001012,080650007001,11
080650007001014,080650007001,8
080650007001015,080650007001,13
080650007001016,080650007001,43
080650007001017,080650007001,47
080650007001018,080650007001,62
080650007001019,080650007001,75
080650007001020,080650007001,35
080650007001022,080650007001,25
080650007001023,080650007001,18
080650007001024,080650007001,17
080650007001025,080650007001,21
080650007005002,080650007005,68
080650007005003,080650007005,0
080650910001001,080650910001,52
080650910001002,080650910001,69
080650910001003,080650910001,44
080650910001004,080650910001,50
080650910001005,080650910001,35
080650910002001,080650910002,64
080650910002002,080650910002,17
080650910002003,080650910002,68
080650910002005,080650910002,35
080650910002006,080650910002,114
080650910003001,080650910003,90
080650910003002,080650910003,56
080650910003003,080650910003,94
080650910003004,080650910003,54
080650910004001,080650910004,86
080650910004002,080650910004,57
080650910004003,080650910004,159
080650910004004,080650910004,13
080654005002007,080654005002,18
090150413009001,090150413009,0
090150413009002,090150413009,0
090150413009003,090150413009,0
090150413009004,090150413009,0
090150413009005,090150413009,0
090150413009006,090150413009,0
090150413009007,090150413009,0
090150413009008,090150413009,0
090150413009009,090150413009,0
090150413009010,090150413009,0
090150413009011,090150413009,0
090150413009012,090150413009,0
090150413010001,090150413010,0
090150413010002,090150413010,0
090150413010003,090150413010,0
090150413010004,090150413010,0
090150413010005,090150413010,0
090150413010006,090150413010,0
090150413010007,090150413010,0
090150413010008,090150413010,0
090150413010009,090150413010,0
090150413010010,090150413010,0
090150413012002,090150413012,17
090150413012003,090150413012,44
090150413012004,090150413012,43
090150413012005,090150413012,35
090150413012006,090150413012,45
090150413012007,090150413012,66
090150413012008,090150413012,46
090150413012009,090150413012,28
090150413012010,090150413012,73
090150413012011,090150413012,53
090150413012012,090150413012,115
090150413012013,090150413012,52
090150413012014,090150413012,45
090150413012015,090150413012,54
090150413012016,090150413012,69
090150413012017,090150413012,0
090150413012018,090150413012,0
090150413012019,090150413012,0
090150413012020,090150413012,0
090150413012021,090150413012,0
090150413012022,090150413012,0
090150413012023,090150413012,0
090150413012024,090150413012,0
090150413012025,090150413012,1
090150413012026,090150413012,0
090150413012027,090150413012,0
090150413012028,090150413012,0
090150413012029,090150413012,0
090150413012030,090150413012,0
090150413012031,090150413012,0
090150413012032,090150413012,0
090150413012033,090150413012,0
090150413012034,090150413012,0
090150413012035,090150413012,0
090150413012036,090150413012,0
090150413012037,090150413012,0
090150413012038,090150413012,0
090150413012039,090150413012,0
090150413012040,090150413012,0
090150413012041,090150413012,0
090150413012042,090150413012,0
090150413012043,090150413012,0
090150413012044,090150413012,0
090150413012045,090150413012,0
090150413012046,090150413012,0
090150413012047,090150413012,0
090150413012048,090150413012,0
090150413012049,090150413012,0
090150413012050,090150413012,0
090150413012051,090150413012,0
090150413012052,090150413012,0
090150413012053,090150413012,0
090150413012054,090150413012,0
090150413012055,090150413012,0
090150413012056,090150413012,0
